dayName,2004,2005,2006,2007,2008
New Year's Day,"01-01","12-31","01-02","01-01","01-01"
"Birthday of Martin Luther King, Jr.","01-19","01-17","01-16","01-15","01-21"
Washington's Birthday,"02-16","02-21","02-20","02-19","02-18"
Memorial Day,"05-31","05-30","05-29","05-28","05-26"
Independence Day,"07-05","07-04","07-04","07-04","07-04"
Labor Day,"09-06","09-05","09-04","09-03",
Columbus Day,"10-11","10-10","10-09","10-08",
Veterans Day,"11-11","11-11","11-10","11-12",
Thanksgiving Day,"11-25","11-24","11-23","11-22",
Christmas Day,"12-24","12-26","12-25","12-25",

