,train_netrmse,test_rmse,test_mape,train_rmse,val_rmse,train_mape,val_mape,train_diff,val_diff,DropoutProp,activationFunction,batchSize,epochSize,exec_time,hiddenLayers,hiddenNodes,l1Penalty,learningRate,loss,optimizer,standardizationType,status,timeWindow,useHoliday,useWeekday,weightInit
8841,0.120151135783,14029.9516186,0.173238040899,8625.63126234,10755.0719654,0.0822761448215,0.103893697706,0.0234727788701,-0.00790379637342,0.0209949034169,sigmoid,35,30,142.849730015,1,300,4.72361814926e-08,0.00260547344909,10755.0719654,adam,zscore,ok,40,False,True,normal
8299,0.123321631386,14065.0721368,0.172897632683,8774.63263111,10773.7531854,0.0835170074815,0.103768122865,0.0237479829103,-0.00932365019237,0.0158534653146,sigmoid,35,30,162.126060009,1,300,6.64579503077e-08,0.00201767097185,10773.7531854,adam,zscore,ok,50,False,True,normal
9223,0.121335848515,14056.8435385,0.172364512569,8692.53252331,10776.3741377,0.0827487725387,0.103708200325,0.0233461804899,-0.00903628106943,0.0218709068304,sigmoid,35,30,138.624258995,1,300,2.39315211736e-08,0.00223544928676,10776.3741377,adam,zscore,ok,32,False,True,normal
9175,0.121135465725,14067.3185335,0.172490406256,8715.1155448,10782.0836273,0.0828172094707,0.103756140395,0.0232077991003,-0.00909547100658,0.0172102432099,sigmoid,35,30,135.711080074,1,300,2.32693561453e-08,0.00214481800411,10782.0836273,adam,zscore,ok,32,False,True,normal
9631,0.120569844094,14051.3580415,0.172602400382,8633.4053678,10782.4307853,0.0824060710024,0.103869198801,0.0228665194694,-0.00907216303387,0.0189294726597,sigmoid,35,30,166.729831219,1,300,3.68105903543e-08,0.0023660890123,10782.4307853,adam,zscore,ok,46,False,True,normal
7568,0.121896128579,14070.6872091,0.172766806234,8703.15310554,10786.8351726,0.0829105940773,0.103859837365,0.0230703847986,-0.00957745519681,0.0123873186786,sigmoid,35,30,153.53520298,1,300,5.80194814908e-08,0.00212610161008,10786.8351726,adam,zscore,ok,50,False,True,normal
8442,0.120649768289,14103.8550463,0.172926050601,8585.08493229,10790.2267531,0.0820233068278,0.103639656417,0.0217341613654,-0.0106070641053,0.0125370462938,sigmoid,35,30,179.994189024,1,300,5.35039332774e-08,0.00226732952928,10790.2267531,adam,zscore,ok,51,False,True,normal
6406,0.119096180046,14073.4620496,0.172883165541,8604.28939316,10793.9255345,0.0822667189061,0.103836807742,0.0227725420811,-0.00902421903899,0.00991165866947,sigmoid,35,30,179.719007015,1,300,5.00036902973e-08,0.00251634927482,10793.9255345,adam,zscore,ok,58,False,True,normal
9156,0.119700544968,14107.6667776,0.172905753387,8559.99444095,10798.8087216,0.0816847834424,0.103677479152,0.0208987417375,-0.0107834000435,0.0138828695026,sigmoid,35,30,163.493773937,1,300,4.05433691664e-08,0.00230624034048,10798.8087216,adam,zscore,ok,44,False,True,normal
9526,0.122583094969,14042.3347223,0.173034093406,8852.52134776,10798.8887896,0.0844716830776,0.104245717989,0.0255252245954,-0.00821463215555,0.0108191259824,sigmoid,35,30,158.371726036,1,300,4.77821466729e-08,0.00193149604914,10798.8887896,adam,zscore,ok,44,False,True,normal
