,DropoutProp,activationFunction,batchSize,earlyStopping,epochSize,exec_time,hiddenLayers,hiddenNodes,indexID,l1Penalty,learningRate,noFillZero,optimizer,standardizationType,stationIDs,test_mape,test_rmse,timeWindow,train_mape,train_rmse,useHoliday,useWeekday,val_mape,val_rmse,weightInit
1200,0.001,relu,1,True,15,1528.24500203,2,80,1200,1e-06,0.001,True,adam,zscore,13,0.184085544472,14986.4078054,237,0.0947480769423,9925.889194,True,True,0.116361786677,12257.0153081,lecun_uniform
186,0.001,relu,1,True,15,2171.76673603,2,189,186,1e-06,0.001,True,adam,zscore,13,0.185582595907,14966.0655549,168,0.0955402603653,10183.0591258,True,True,0.117688970809,12291.3136492,lecun_uniform
349,0.001,relu,1,True,15,951.273684025,1,80,349,1e-06,0.001,True,adam,zscore,13,0.1821947613,15044.6179034,168,0.0886745009211,9448.67746222,True,True,0.114123955546,12326.6374938,lecun_uniform
1244,0.001,relu,1,True,15,1849.56276011,2,80,1244,1e-06,0.001,True,adam,zscore,13,0.184055531153,14888.8088385,281,0.0972976760846,10356.9810758,True,True,0.118705139887,12329.7063357,lecun_uniform
1180,0.001,relu,1,True,15,1295.90947104,2,80,1180,1e-06,0.001,True,adam,zscore,13,0.184169599687,14935.5693668,217,0.0971690545376,10251.9509005,True,True,0.117506759952,12330.1242225,lecun_uniform
1221,0.001,relu,1,True,15,1476.11794996,2,80,1221,1e-06,0.001,True,adam,zscore,13,0.183794099442,14716.8064623,258,0.098460488914,10434.1081143,True,True,0.117931076067,12334.5936431,lecun_uniform
264,0.001,relu,1,True,15,3051.04639912,2,267,264,1e-06,0.001,True,adam,zscore,13,0.184124688118,14824.1201326,168,0.097637778831,10296.297561,True,True,0.117676453133,12336.7928047,lecun_uniform
1101,0.001,relu,1,True,15,878.96854496,2,80,1101,1e-06,0.001,True,adam,zscore,13,0.184513229412,14892.0631462,138,0.0937624205222,9891.53176213,True,True,0.117356282462,12350.0365273,lecun_uniform
1197,0.001,relu,1,True,15,1587.86136484,2,80,1197,1e-06,0.001,True,adam,zscore,13,0.185415376125,15055.1000311,234,0.0971135068867,10124.8640857,True,True,0.118098909452,12359.3572913,lecun_uniform
82,0.001,relu,1,True,15,1189.36906719,2,85,82,1e-06,0.001,True,adam,zscore,13,0.188099677735,15057.3448806,168,0.101796553372,10816.4025251,True,True,0.119038789479,12368.702995,lecun_uniform
1166,0.001,relu,1,True,15,1321.6333549,2,80,1166,1e-06,0.001,True,adam,zscore,13,0.184162192618,14886.505192,203,0.0952346227418,9895.57557314,True,True,0.117631529677,12371.8240703,lecun_uniform
1187,0.001,relu,1,True,15,1303.37239885,2,80,1187,1e-06,0.001,True,adam,zscore,13,0.185457987235,14892.4863753,224,0.0971008937229,10142.2020952,True,True,0.117664055515,12388.3636768,lecun_uniform
1215,0.001,relu,1,True,15,2322.79739094,2,80,1215,1e-06,0.001,True,adam,zscore,13,0.183107620175,15018.9343164,252,0.0952647720542,10014.9009243,True,True,0.1163419964,12388.7606126,lecun_uniform
1167,0.001,relu,1,True,15,1345.90343499,2,80,1167,1e-06,0.001,True,adam,zscore,13,0.186173356519,15136.9360528,204,0.0957100030922,9963.73203495,True,True,0.117030290294,12403.2342869,lecun_uniform
1210,0.001,relu,1,True,15,1670.69702101,2,80,1210,1e-06,0.001,True,adam,zscore,13,0.184071552627,14953.4043367,247,0.0974245634189,10211.777448,True,True,0.117887146408,12420.1262142,lecun_uniform
1127,0.001,relu,1,True,15,1210.68355608,2,80,1127,1e-06,0.001,True,adam,zscore,13,0.184166186933,14973.1875758,164,0.0934618177793,9944.41601922,True,True,0.117682711952,12420.5961765,lecun_uniform
1109,0.001,relu,1,True,15,974.355777025,2,80,1109,1e-06,0.001,True,adam,zscore,13,0.185586256721,15072.3851121,146,0.096686981862,10240.8157981,True,True,0.118146020728,12421.673261,lecun_uniform
1204,0.001,relu,1,True,15,1402.41013503,2,80,1204,1e-06,0.001,True,adam,zscore,13,0.183962171958,14987.8193461,241,0.0948385158678,9918.66715506,True,True,0.116775930864,12437.1606639,lecun_uniform
1230,0.001,relu,1,True,15,1900.12898517,2,80,1230,1e-06,0.001,True,adam,zscore,13,0.183155863067,14812.3677017,267,0.0960999057841,10301.0929325,True,True,0.117887834571,12437.8855781,lecun_uniform
1199,0.001,relu,1,True,15,1624.58681703,2,80,1199,1e-06,0.001,True,adam,zscore,13,0.184434746198,15077.8350839,236,0.0997289278451,10372.5803736,True,True,0.119102225838,12441.6019242,lecun_uniform
1723,0.001,relu,1,True,25,1495.10423303,2,80,1723,1e-06,0.001,True,adam,zscore,13,0.18165768408,15104.7274682,168,0.0888158224607,9300.42021573,True,True,0.114479976905,12443.9778271,lecun_uniform
64,0.001,relu,1,True,15,977.379520893,2,67,64,1e-06,0.001,True,adam,zscore,13,0.18392820631,15090.4504638,168,0.0929563292537,9766.15101056,True,True,0.117595348528,12449.3830324,lecun_uniform
1248,0.001,relu,1,True,15,2554.21186113,2,80,1248,1e-06,0.001,True,adam,zscore,13,0.185251875409,14948.1429514,285,0.09721411417,10370.3475398,True,True,0.118055877432,12449.7515466,lecun_uniform
1171,0.001,relu,1,True,15,1250.05782008,2,80,1171,1e-06,0.001,True,adam,zscore,13,0.185054333609,15056.383099,208,0.0948028806689,9828.06378507,True,True,0.116593999597,12455.7921524,lecun_uniform
1113,0.001,relu,1,True,15,1046.31251693,2,80,1113,1e-06,0.001,True,adam,zscore,13,0.184811994304,15074.1746356,150,0.0923333549923,9828.19157463,True,True,0.116684385285,12460.3207633,lecun_uniform
1239,0.001,relu,1,True,15,1670.08789897,2,80,1239,1e-06,0.001,True,adam,zscore,13,0.184939668311,14896.0692131,276,0.096919061117,10268.2308368,True,True,0.118782706813,12463.8255056,lecun_uniform
1181,0.001,relu,1,True,15,1633.37589097,2,80,1181,1e-06,0.001,True,adam,zscore,13,0.188692839315,15043.7618941,218,0.102039548913,10399.79567,True,True,0.120254824755,12465.3836399,lecun_uniform
1237,0.001,relu,1,True,15,2156.26398492,2,80,1237,1e-06,0.001,True,adam,zscore,13,0.183030848774,14839.6437139,274,0.0965541744828,10291.1584128,True,True,0.118349303812,12468.0294991,lecun_uniform
1243,0.001,relu,1,True,15,2139.43742204,2,80,1243,1e-06,0.001,True,adam,zscore,13,0.181879514135,14876.1099139,280,0.0962097957326,10171.9192147,True,True,0.117572347168,12476.4509404,lecun_uniform
1196,0.001,relu,1,True,15,1424.99144411,2,80,1196,1e-06,0.001,True,adam,zscore,13,0.185839023575,15050.1132178,233,0.097584691531,10389.1335287,True,True,0.11772218066,12481.1749052,lecun_uniform
1186,0.001,relu,1,True,15,1800.2105422,2,80,1186,1e-06,0.001,True,adam,zscore,13,0.187922741899,15015.7617271,223,0.102914542823,10460.2123033,True,True,0.120047255695,12487.1669464,lecun_uniform
